run,task,partition,threshold,n,tp,fp,tn,fn,accuracy,balanced_accuracy,sensitivity,specificity,positive_precision,positive_f1,n_predicted_positive,is_primary_selected,is_secondary_selected
full_multimodal,er,val,0.38,159,121,7,27,4,0.9308176100628931,0.8810588235294117,0.968,0.7941176470588235,0.9453125,0.9565217391304348,128,False,False
full_multimodal,er,val,0.39,159,120,7,27,5,0.9245283018867925,0.8770588235294117,0.96,0.7941176470588235,0.9448818897637795,0.9523809523809523,127,False,False
full_multimodal,er,val,0.4,159,119,7,27,6,0.9182389937106918,0.8730588235294117,0.952,0.7941176470588235,0.9444444444444444,0.9482071713147411,126,False,False
full_multimodal,er,val,0.41,159,118,5,29,7,0.9245283018867925,0.8984705882352941,0.944,0.8529411764705882,0.959349593495935,0.9516129032258064,123,False,False
full_multimodal,er,val,0.42,159,118,5,29,7,0.9245283018867925,0.8984705882352941,0.944,0.8529411764705882,0.959349593495935,0.9516129032258064,123,False,False
full_multimodal,er,val,0.43,159,118,3,31,7,0.9371069182389937,0.9278823529411764,0.944,0.9117647058823529,0.9752066115702479,0.959349593495935,121,False,False
full_multimodal,er,val,0.44,159,118,3,31,7,0.9371069182389937,0.9278823529411764,0.944,0.9117647058823529,0.9752066115702479,0.959349593495935,121,False,False
full_multimodal,er,val,0.45,159,118,3,31,7,0.9371069182389937,0.9278823529411764,0.944,0.9117647058823529,0.9752066115702479,0.959349593495935,121,False,False
full_multimodal,er,val,0.46,159,118,3,31,7,0.9371069182389937,0.9278823529411764,0.944,0.9117647058823529,0.9752066115702479,0.959349593495935,121,False,False
full_multimodal,er,val,0.47,159,118,3,31,7,0.9371069182389937,0.9278823529411764,0.944,0.9117647058823529,0.9752066115702479,0.959349593495935,121,False,False
full_multimodal,er,val,0.48,159,118,3,31,7,0.9371069182389937,0.9278823529411764,0.944,0.9117647058823529,0.9752066115702479,0.959349593495935,121,False,False
full_multimodal,er,val,0.49,159,118,3,31,7,0.9371069182389937,0.9278823529411764,0.944,0.9117647058823529,0.9752066115702479,0.959349593495935,121,False,False
full_multimodal,er,val,0.5,159,118,3,31,7,0.9371069182389937,0.9278823529411764,0.944,0.9117647058823529,0.9752066115702479,0.959349593495935,121,True,True
full_multimodal,er,val,0.51,159,118,3,31,7,0.9371069182389937,0.9278823529411764,0.944,0.9117647058823529,0.9752066115702479,0.959349593495935,121,False,False
full_multimodal,er,val,0.52,159,118,3,31,7,0.9371069182389937,0.9278823529411764,0.944,0.9117647058823529,0.9752066115702479,0.959349593495935,121,False,False
full_multimodal,er,val,0.53,159,118,3,31,7,0.9371069182389937,0.9278823529411764,0.944,0.9117647058823529,0.9752066115702479,0.959349593495935,121,False,False
full_multimodal,er,val,0.54,159,118,3,31,7,0.9371069182389937,0.9278823529411764,0.944,0.9117647058823529,0.9752066115702479,0.959349593495935,121,False,False
full_multimodal,er,val,0.55,159,117,3,31,8,0.9308176100628931,0.9238823529411765,0.936,0.9117647058823529,0.975,0.9551020408163265,120,False,False
full_multimodal,er,val,0.56,159,117,3,31,8,0.9308176100628931,0.9238823529411765,0.936,0.9117647058823529,0.975,0.9551020408163265,120,False,False
full_multimodal,er,val,0.57,159,117,3,31,8,0.9308176100628931,0.9238823529411765,0.936,0.9117647058823529,0.975,0.9551020408163265,120,False,False
full_multimodal,er,val,0.58,159,117,3,31,8,0.9308176100628931,0.9238823529411765,0.936,0.9117647058823529,0.975,0.9551020408163265,120,False,False
full_multimodal,er,val,0.59,159,117,3,31,8,0.9308176100628931,0.9238823529411765,0.936,0.9117647058823529,0.975,0.9551020408163265,120,False,False
full_multimodal,er,val,0.6,159,116,3,31,9,0.9245283018867925,0.9198823529411765,0.928,0.9117647058823529,0.9747899159663865,0.9508196721311476,119,False,False
full_multimodal,er,val,0.61,159,116,3,31,9,0.9245283018867925,0.9198823529411765,0.928,0.9117647058823529,0.9747899159663865,0.9508196721311476,119,False,False
full_multimodal,er,val,0.62,159,116,3,31,9,0.9245283018867925,0.9198823529411765,0.928,0.9117647058823529,0.9747899159663865,0.9508196721311476,119,False,False
full_multimodal,er,val,0.63,159,116,3,31,9,0.9245283018867925,0.9198823529411765,0.928,0.9117647058823529,0.9747899159663865,0.9508196721311476,119,False,False
full_multimodal,er,val,0.64,159,116,3,31,9,0.9245283018867925,0.9198823529411765,0.928,0.9117647058823529,0.9747899159663865,0.9508196721311476,119,False,False
full_multimodal,er,val,0.65,159,116,3,31,9,0.9245283018867925,0.9198823529411765,0.928,0.9117647058823529,0.9747899159663865,0.9508196721311476,119,False,False
full_multimodal,er,val,0.66,159,116,3,31,9,0.9245283018867925,0.9198823529411765,0.928,0.9117647058823529,0.9747899159663865,0.9508196721311476,119,False,False
full_multimodal,er,val,0.67,159,116,3,31,9,0.9245283018867925,0.9198823529411765,0.928,0.9117647058823529,0.9747899159663865,0.9508196721311476,119,False,False
full_multimodal,er,val,0.68,159,116,3,31,9,0.9245283018867925,0.9198823529411765,0.928,0.9117647058823529,0.9747899159663865,0.9508196721311476,119,False,False
full_multimodal,er,val,0.69,159,116,3,31,9,0.9245283018867925,0.9198823529411765,0.928,0.9117647058823529,0.9747899159663865,0.9508196721311476,119,False,False
full_multimodal,er,val,0.7,159,115,3,31,10,0.9182389937106918,0.9158823529411765,0.92,0.9117647058823529,0.9745762711864406,0.9465020576131686,118,False,False
full_multimodal,er,val,0.71,159,115,3,31,10,0.9182389937106918,0.9158823529411765,0.92,0.9117647058823529,0.9745762711864406,0.9465020576131686,118,False,False
full_multimodal,er,val,0.72,159,115,3,31,10,0.9182389937106918,0.9158823529411765,0.92,0.9117647058823529,0.9745762711864406,0.9465020576131686,118,False,False
full_multimodal,er,val,0.73,159,115,3,31,10,0.9182389937106918,0.9158823529411765,0.92,0.9117647058823529,0.9745762711864406,0.9465020576131686,118,False,False
full_multimodal,er,val,0.74,159,115,3,31,10,0.9182389937106918,0.9158823529411765,0.92,0.9117647058823529,0.9745762711864406,0.9465020576131686,118,False,False
full_multimodal,er,val,0.75,159,115,3,31,10,0.9182389937106918,0.9158823529411765,0.92,0.9117647058823529,0.9745762711864406,0.9465020576131686,118,False,False
