task,explained_output,rank,modality,feature,mean_abs_shap,mean_shap,feature_shap_correlation,direction
her2,her2_margin,14,genomic,GRB7,0.017241358954424062,0.004010971579504368,0.7373975174957462,higher feature value increases the output
her2,her2_margin,15,genomic,RRM2,0.016727477529089766,0.0011087961381857393,0.7491210329958744,higher feature value increases the output
her2,her2_margin,16,genomic,CENPF,0.016590942511082927,-0.0012971642684258228,0.6288276835076675,higher feature value increases the output
her2,her2_margin,17,genomic,PHGDH,0.01258180107707349,0.0016771315802239168,0.5342895834372977,higher feature value increases the output
her2,her2_margin,18,genomic,EXO1,0.012284823575056385,0.00021379939331328646,0.8587105923355586,higher feature value increases the output
her2,her2_margin,19,genomic,CDH3,0.01147288688889442,-0.000291161462276755,-0.42107214229898227,higher feature value decreases the output
her2,her2_margin,20,genomic,CCNE1,0.01128571955340312,-7.292307764595998e-05,-0.2722333601791704,higher feature value decreases the output
pam50,Luminal A,1,genomic,ESR1,0.48429623880644135,-0.08243506357180015,0.9277215312779138,higher feature value increases the output
pam50,Luminal A,2,genomic,FOXC1,0.31905455790411485,-0.04015740904855544,-0.8672310867896917,higher feature value decreases the output
pam50,Luminal A,3,genomic,MAPT,0.1419836087453064,-0.034012006161939785,0.8736283419884391,higher feature value increases the output
pam50,Luminal A,4,genomic,ANLN,0.12773680772083346,-0.017160095268507626,-0.707940804726026,higher feature value decreases the output
pam50,Luminal A,5,genomic,NAT1,0.11473327929465064,-0.01674730507622907,0.9001847052352525,higher feature value increases the output
pam50,Luminal A,6,genomic,CEP55,0.11075533473127132,0.006678512193415995,-0.8817763427871591,higher feature value decreases the output
pam50,Luminal A,7,genomic,CDC6,0.08844234364772711,-0.007980132224463672,-0.8720552141008231,higher feature value decreases the output
pam50,Luminal A,8,genomic,ERBB2,0.0778869899381706,-0.0038078242229952334,-0.7300187612996274,higher feature value decreases the output
pam50,Luminal A,9,genomic,CDH3,0.07143605073632439,-0.01854108194590136,-0.7362460524367943,higher feature value decreases the output
pam50,Luminal A,10,genomic,RRM2,0.07056553441903063,-0.002188008364682244,-0.8125331615976866,higher feature value decreases the output
pam50,Luminal A,11,clinical,nodal_N2,0.06408865538397937,4.131529267700816e-05,-0.9338631630546869,higher feature value decreases the output
pam50,Luminal A,12,genomic,CCNE1,0.06219312630933355,-0.010849070648968843,-0.8954846593631851,higher feature value decreases the output
pam50,Luminal A,13,genomic,CXXC5,0.06141686162382441,-0.0018285978983381271,0.7985939833114812,higher feature value increases the output
pam50,Luminal A,14,genomic,CENPF,0.06002846924156191,0.004589883105886697,-0.7076866314486158,higher feature value decreases the output
pam50,Luminal A,15,clinical,age,0.052808242049185244,0.01487003771717302,-0.07919888852250498,mixed (no consistent direction across patients)
pam50,Luminal A,16,genomic,PHGDH,0.051776079151559413,-0.010371692165955314,-0.6539938411296226,higher feature value decreases the output
pam50,Luminal A,17,genomic,MLPH,0.051470466393976046,-0.004069512222105124,0.8290130381395588,higher feature value increases the output
pam50,Luminal A,18,genomic,CCNB1,0.04744803530790251,0.013675283547044868,-0.7597850977648105,higher feature value decreases the output
pam50,Luminal A,19,genomic,KRT17,0.043105874607605135,0.01047170252144657,0.36711076802689097,higher feature value increases the output
