task,modality,feature,mean_abs_shap,rank
pr,genomic,PTTG1,0.0018714593401701867,59
pr,clinical,nodal_Unknown,0.0010490796385123969,60
pr,clinical,stage_Unknown,0.0005137303337548132,61
pr,clinical,sex_male,0.0003492230262211433,62
her2,genomic,FOXC1,0.14505648950840022,1
her2,genomic,ANLN,0.05769578103724267,2
her2,genomic,ESR1,0.056506004645908985,3
her2,genomic,MAPT,0.03970570967550599,4
her2,genomic,CEP55,0.0390112407287105,5
her2,genomic,CDC6,0.034378191237543224,6
her2,genomic,KRT17,0.032037586465137845,7
her2,genomic,NAT1,0.02968201695157975,8
her2,clinical,age,0.02959249807429914,9
her2,clinical,nodal_N0,0.02172644204100831,10
her2,genomic,ERBB2,0.01904496965178537,11
her2,genomic,CCNB1,0.018176269443801685,12
her2,genomic,CXXC5,0.017636280090421338,13
her2,genomic,GRB7,0.017241358954424062,14
her2,genomic,RRM2,0.016727477529089766,15
her2,genomic,CENPF,0.016590942511082927,16
her2,genomic,PHGDH,0.01258180107707349,17
her2,genomic,EXO1,0.012284823575056385,18
her2,genomic,CDH3,0.01147288688889442,19
her2,genomic,CCNE1,0.01128571955340312,20
her2,genomic,TMEM45B,0.011237278711866689,21
her2,genomic,BIRC5,0.010643592436691088,22
her2,clinical,stage_III,0.010279661679796874,23
her2,genomic,BLVRA,0.010033599817674774,24
her2,clinical,stage_II,0.010013145280860353,25
her2,clinical,nodal_N2,0.009817647577402607,26
her2,clinical,nodal_N1,0.00950511130417137,27
her2,genomic,EGFR,0.009349943120004292,28
her2,genomic,KRT14,0.009122336365189556,29
her2,genomic,MLPH,0.00769571335460563,30
her2,genomic,SFRP1,0.007639106184401986,31
her2,genomic,MYBL2,0.006881996674861111,32
her2,genomic,MYC,0.006842806858303232,33
her2,genomic,FGFR4,0.0068386859244412655,34
her2,genomic,MIA,0.006424992118244772,35
her2,clinical,stage_I,0.0060096495497494054,36
her2,genomic,BCL2,0.005853644746344209,37
her2,genomic,SLC39A6,0.005726903038230467,38
her2,genomic,ACTR3B,0.00565094074132446,39
her2,genomic,KRT5,0.005073446059152406,40
her2,genomic,GPR160,0.004814547757539755,41
her2,genomic,MKI67,0.004572364642140041,42
her2,genomic,PGR,0.0045275304727127015,43
her2,genomic,BAG1,0.004005603215784196,44
her2,genomic,UBE2C,0.003872729608233559,45
her2,genomic,MELK,0.0037598947618146376,46
her2,genomic,CDC20,0.0037041117307011883,47
